coef : -1817157468   exp : 1
coef : -1695495918   exp : 3467
coef : 1367671716   exp : 3486
coef : -122796390   exp : 3497
coef : -1343949998   exp : 3500
coef : -1136868270   exp : 3513
coef : 438817311   exp : 3518
coef : 1788005353   exp : 3520
coef : 971161164   exp : 3531
coef : 1956891034   exp : 3555
coef : -523694195   exp : 3587
coef : 827794512   exp : 3606
coef : 720558110   exp : 3633
coef : -1838905311   exp : 3647
coef : 1676090965   exp : 3656
coef : 1752015691   exp : 3671
coef : -153764758   exp : 3748
coef : -1824520519   exp : 3764
coef : 256137522   exp : 3804
coef : -128474684   exp : 3815
coef : -2123278689   exp : 3829
coef : -1728484106   exp : 3836
coef : -1586502025   exp : 3843
coef : 620029545   exp : 3845
coef : 1875466188   exp : 3848
coef : 295492991   exp : 3863
coef : 1324174673   exp : 3990
coef : 874806182   exp : 4000
coef : -1142308104   exp : 4018
coef : 866918897   exp : 4029
coef : -348315549   exp : 4041
coef : 518480909   exp : 4099
coef : -1163079951   exp : 4109
coef : 596723928   exp : 4157
coef : 905965903   exp : 4186
coef : 483425023   exp : 4187
coef : -1127076243   exp : 4188
coef : 2135623072   exp : 4198
coef : 525156712   exp : 4263
coef : -248246988   exp : 4270
coef : 799405965   exp : 4276
coef : -17634088   exp : 4331
coef : -586961932   exp : 4354
coef : 322085767   exp : 4363
coef : -137988539   exp : 4422
coef : 1700935346   exp : 4436
coef : -279497227   exp : 4454
coef : 836960175   exp : 4480
coef : -754534099   exp : 4502
coef : 1387355127   exp : 4544
coef : -2129468217   exp : 4564
coef : 135877313   exp : 4618
coef : 485019790   exp : 4666
coef : -1755606367   exp : 4673
coef : -2034462698   exp : 4698
coef : 229668213   exp : 4714
coef : -518155523   exp : 4732
coef : 280993520   exp : 4766
coef : -2139833062   exp : 4772
coef : 1509041736   exp : 4796
coef : -875118557   exp : 4801
coef : -1325554728   exp : 4828
coef : -1325831627   exp : 4835
coef : -533616506   exp : 4841
coef : 591579177   exp : 4858
coef : -1481510359   exp : 4861
coef : -58126303   exp : 4868
coef : 732953774   exp : 4871
coef : 1643792654   exp : 4881
coef : -1692757013   exp : 4921
coef : -1886951024   exp : 5008
coef : -1530032837   exp : 5032
coef : 2082375808   exp : 5045
coef : -336499441   exp : 5078
coef : -1756910189   exp : 5149
coef : -1420217461   exp : 5152
coef : -1115079717   exp : 5187
coef : 1686727532   exp : 5200
coef : -133064208   exp : 5206
coef : -692579268   exp : 5230
coef : -2102204747   exp : 5304
coef : -389881104   exp : 5356
coef : -1805871434   exp : 5365
coef : -1373122541   exp : 5377
coef : 1237226053   exp : 5383
coef : -1997703018   exp : 5394
coef : 121833762   exp : 5396
coef : -1887388889   exp : 5433
coef : -175207762   exp : 5470
coef : -1130967289   exp : 5479
coef : -820252704   exp : 5522
coef : 73377484   exp : 5533
coef : 151185218   exp : 5592
coef : -679595981   exp : 5594
coef : -685338739   exp : 5600
coef : 1830932329   exp : 5612
coef : 1897293675   exp : 5615
coef : 31555552   exp : 5625
coef : 1279380537   exp : 5640
coef : 1529040126   exp : 5650
coef : -1082304329   exp : 5663
coef : -1611246515   exp : 5670
coef : 1112146464   exp : 5676
coef : -48773506   exp : 5685
coef : -1986783068   exp : 5687
coef : -1855295251   exp : 5706
coef : -1955966263   exp : 5720
coef : -899893916   exp : 5725
coef : 308389843   exp : 5728
coef : -76087619   exp : 5738
coef : -205936164   exp : 5781
coef : -1761762735   exp : 5800
coef : 1179470543   exp : 5834
coef : 275786025   exp : 5844
coef : -224961293   exp : 5853
coef : 855053586   exp : 5864
coef : 564428042   exp : 5879
coef : -281076241   exp : 5890
coef : 874720212   exp : 5898
coef : -1578696125   exp : 5904
coef : -1496471604   exp : 5942
coef : -1358964487   exp : 5953
coef : 1280287978   exp : 5968
coef : -1310919669   exp : 6066
coef : -1847170052   exp : 6079
coef : -1143341101   exp : 6096
coef : -1376355614   exp : 6117
coef : -1012307185   exp : 6119
coef : 836823068   exp : 6161
coef : 1092447435   exp : 6186
coef : -705647343   exp : 6194
coef : -409062123   exp : 6215
coef : 28815945   exp : 6230
coef : 697264396   exp : 6255
coef : 65344458   exp : 6289
coef : -1767503551   exp : 6295
coef : 1149307177   exp : 6390
coef : 1025557650   exp : 6392
coef : -1226247822   exp : 6426
coef : -1235272974   exp : 6456
coef : -1383402968   exp : 6535
coef : -1797426904   exp : 6540
coef : -804535690   exp : 6545
coef : -852162397   exp : 6570
coef : 2024776256   exp : 6607
coef : -919730163   exp : 6624
coef : 342922205   exp : 6651
coef : 143041248   exp : 6660
coef : -1428454058   exp : 6668
coef : -620808541   exp : 6671
coef : 71420697   exp : 6678
coef : 1744848260   exp : 6693
coef : 12290785   exp : 6728
coef : -1124489024   exp : 6737
coef : 1347653960   exp : 6815
coef : -441687516   exp : 6843
coef : -935033868   exp : 6869
coef : -1180354821   exp : 6896
coef : 924226899   exp : 6898
coef : 1787200235   exp : 6908
coef : 805180129   exp : 6920
coef : 2030496572   exp : 6941
coef : -223726472   exp : 6975
coef : -363036764   exp : 6990
coef : -239584000   exp : 7069
coef : 53570647   exp : 7074
coef : 9422844   exp : 7112
coef : -2072343859   exp : 7129
coef : -191089160   exp : 7130
coef : -1527650233   exp : 7152
coef : -1831203244   exp : 7153
coef : 1808790718   exp : 7159
coef : 179033674   exp : 7179
coef : -184265518   exp : 7191
coef : -432961166   exp : 7199
coef : 551693888   exp : 7203
coef : 1293553236   exp : 7217
coef : 1568390586   exp : 7262
coef : -1413206084   exp : 7285
coef : 1985268085   exp : 7290
coef : 957478222   exp : 7338
coef : -1767862453   exp : 7348
coef : -198417290   exp : 7350
coef : 823712521   exp : 7360
coef : 2109826524   exp : 7373
coef : -487867553   exp : 7405
coef : 687698579   exp : 7433
coef : 1547146715   exp : 7451
coef : -989176602   exp : 7474
coef : -1508884908   exp : 7518
coef : 69681066   exp : 7546
coef : 665408727   exp : 7574
coef : -381098390   exp : 7593
coef : 1304534552   exp : 7604
coef : 1348110138   exp : 7628
coef : -1876297462   exp : 7635
coef : -1381127683   exp : 7639
coef : 1360264850   exp : 7655
coef : -587867242   exp : 7674
coef : -1606070347   exp : 7677
coef : 218320986   exp : 7725
coef : -1497852939   exp : 7730
coef : 216334822   exp : 7733
coef : -167687409   exp : 7793
coef : -485505844   exp : 7796
coef : 1423022668   exp : 7817
coef : -959467494   exp : 7819
coef : -941069983   exp : 7845
coef : 1367767197   exp : 7851
coef : -1986167595   exp : 7857
coef : -1937251228   exp : 7872
coef : -1744413673   exp : 7873
coef : 810748477   exp : 7876
coef : 152366671   exp : 7902
coef : -206664222   exp : 7919
coef : 1615044065   exp : 7949
coef : 416015354   exp : 8051
coef : 192347356   exp : 8054
coef : 1869548741   exp : 8109
coef : -1086621006   exp : 8111
coef : 1520001533   exp : 8120
coef : -1181254997   exp : 8124
coef : 351282800   exp : 8135
coef : 399657347   exp : 8144
coef : 1088879307   exp : 8146
coef : -579756228   exp : 8149
coef : 1510872616   exp : 8178
coef : 1978208259   exp : 8179
coef : 784871204   exp : 8226
coef : 1225948816   exp : 8229
coef : 1902145991   exp : 8266
coef : -171175367   exp : 8299
coef : -102165224   exp : 8332
coef : -173746467   exp : 8340
coef : 124628221   exp : 8353
coef : -1715911518   exp : 8355
coef : 101415818   exp : 8356
coef : 878960697   exp : 8361
coef : 1982502796   exp : 8366
coef : 1833385059   exp : 8388
coef : -31621627   exp : 8399
coef : 349762618   exp : 8419
coef : 485481297   exp : 8425
coef : -919021656   exp : 8431
coef : -1146781866   exp : 8437
coef : 1216052646   exp : 8443
coef : -2108407765   exp : 8456
coef : 2043508287   exp : 8461
coef : 341010812   exp : 8476
coef : -1947429146   exp : 8530
coef : 118392746   exp : 8538
coef : 1601967132   exp : 8541
coef : 2114927491   exp : 8550
coef : -1876086653   exp : 8561
coef : -1385602577   exp : 8563
coef : -927716564   exp : 8570
coef : 1488983604   exp : 8589
coef : 1314603185   exp : 8590
coef : 848228336   exp : 8601
coef : 948120904   exp : 8624
coef : 466893459   exp : 8637
coef : -1267575168   exp : 8670
coef : -1293947049   exp : 8702
coef : 203380922   exp : 8721
coef : -1859931226   exp : 8777
coef : -1180099288   exp : 8906
coef : 411980221   exp : 8920
coef : -1645303392   exp : 8948
coef : 199103385   exp : 8949
coef : 976336643   exp : 8960
coef : 877665215   exp : 8962
coef : 881896535   exp : 8984
coef : -1459977175   exp : 9017
coef : 1131632652   exp : 9020
coef : -1706928990   exp : 9041
coef : 1388443724   exp : 9077
coef : 2892222   exp : 9110
coef : -798646439   exp : 9113
coef : 672048435   exp : 9129
coef : 1676250461   exp : 9178
coef : 1146497741   exp : 9193
coef : 399248176   exp : 9196
coef : -754706236   exp : 9201
coef : 87143485   exp : 9253
coef : 161516012   exp : 9260
coef : -556581010   exp : 9285
coef : 2014431110   exp : 9301
coef : -687474518   exp : 9312
coef : -398129581   exp : 9325
coef : -1988789278   exp : 9351
coef : 1606719282   exp : 9385
coef : 630532945   exp : 9412
coef : -1014458777   exp : 9419
coef : -1811094210   exp : 9445
coef : -2057523423   exp : 9459
coef : 1317863017   exp : 9465
coef : -1713430271   exp : 9477
coef : 115525769   exp : 9509
coef : -1525399835   exp : 9549
coef : -511149309   exp : 9560
coef : 1785895447   exp : 9563
coef : 1480155015   exp : 9575
coef : -521843658   exp : 9608
coef : 1114200081   exp : 9626
coef : -21018984   exp : 9636
coef : -1069404328   exp : 9637
coef : 1972251211   exp : 9644
coef : -680676572   exp : 9653
coef : 1347358809   exp : 9678
coef : -103956088   exp : 9681
coef : 1632085669   exp : 9712
coef : -2113237026   exp : 9768
coef : -1132834993   exp : 9824
coef : -1327817168   exp : 9826
coef : -1093864601   exp : 9866
coef : -1219477708   exp : 9871
coef : 160995831   exp : 9907
coef : 737569115   exp : 9983
coef : -1184632432   exp : 9993
